Fecha;fecha_Operación;TRM;Diferencia;Dia sem;nom Dia Sem;fin Semana;Dif Cero;date
5/06/2021;4/06/2021;3609,2;-48,21;6;vie;0;0;2021-06-04
6/06/2021;5/06/2021;3609,2;0;7;sáb;1;1;2021-06-05
7/06/2021;6/06/2021;3609,2;0;1;dom;1;1;2021-06-06
8/06/2021;7/06/2021;3609,2;0;2;lun;0;1;2021-06-07
9/06/2021;8/06/2021;3597,18;-12,02;3;mar;0;0;2021-06-08
10/06/2021;9/06/2021;3588,41;-8,77;4;mié;0;0;2021-06-09
11/06/2021;10/06/2021;3589,86;1,45;5;jue;0;0;2021-06-10
12/06/2021;11/06/2021;3626,02;36,16;6;vie;0;0;2021-06-11
13/06/2021;12/06/2021;3626,02;0;7;sáb;1;1;2021-06-12
14/06/2021;13/06/2021;3626,02;0;1;dom;1;1;2021-06-13
15/06/2021;14/06/2021;3626,02;0;2;lun;0;1;2021-06-14
16/06/2021;15/06/2021;3693,35;67,33;3;mar;0;0;2021-06-15
17/06/2021;16/06/2021;3690,56;-2,79;4;mié;0;0;2021-06-16
18/06/2021;17/06/2021;3730,45;39,89;5;jue;0;0;2021-06-17
19/06/2021;18/06/2021;3753,77;23,32;6;vie;0;0;2021-06-18
20/06/2021;19/06/2021;3753,77;0;7;sáb;1;1;2021-06-19
21/06/2021;20/06/2021;3753,77;0;1;dom;1;1;2021-06-20
